10.1.2.54,900.058791ms,308.208µs
10.1.2.55,909.33875ms,77.167µs
10.1.2.54,913.56775ms,57.541µs
10.1.2.56,927.584917ms,40.333µs
10.1.2.55,936.996042ms,53.459µs
10.1.2.56,942.881834ms,52.125µs
10.1.2.55,963.186625ms,94.333µs
10.1.2.56,963.316416ms,79.208µs
10.1.2.55,963.362292ms,88.25µs
10.1.2.56,978.557208ms,48.042µs
10.1.2.56,1.003721792s,54.417µs
10.1.2.53,1.016808625s,73.708µs
10.1.2.56,1.023506541s,39.541µs
10.1.2.55,1.056749917s,80.167µs
10.1.2.56,1.069337083s,62.042µs
10.1.2.55,1.098442458s,58.625µs
10.1.2.54,1.098379458s,44.125µs
10.1.2.55,1.107480084s,77.417µs
10.1.2.53,1.120581375s,49.625µs
10.1.2.56,1.149598s,134.75µs
10.1.2.53,1.148639542s,39.291µs
10.1.2.56,1.148901584s,99.583µs
10.1.2.55,1.172178916s,42.666µs
10.1.2.55,1.177170541s,40.625µs
10.1.2.56,1.178562291s,71.292µs
10.1.2.55,1.178592459s,49.709µs
10.1.2.56,1.186532792s,61.042µs
10.1.2.54,1.220227125s,32.5µs
10.1.2.56,1.227976083s,39.75µs
10.1.2.55,1.2294225s,115.833µs
10.1.2.53,1.228978041s,87.958µs
10.1.2.55,1.249582958s,53.917µs
10.1.2.55,1.272561792s,48.167µs
10.1.2.55,1.312473417s,109.208µs
10.1.2.56,1.329942167s,34.875µs
10.1.2.56,1.358355208s,82.5µs
10.1.2.55,1.399459709s,519.625µs
10.1.2.54,1.399513959s,64.25µs
10.1.2.53,1.4368345s,38.833µs
10.1.2.55,1.440088166s,264.75µs
10.1.2.55,1.461135666s,87.375µs
10.1.2.56,1.461090625s,100.417µs
10.1.2.56,1.460460833s,526.333µs
10.1.2.55,1.462237375s,75.416µs
10.1.2.55,1.532294s,70.5µs
10.1.2.56,1.556802875s,64.542µs
10.1.2.56,1.555847417s,309.917µs
10.1.2.55,1.580073125s,55.25µs
10.1.2.55,1.595040084s,154.583µs
10.1.2.56,1.647511125s,82.75µs
10.1.2.56,1.865386542s,193.667µs
10.1.2.56,2.04969075s,60.917µs
10.1.2.56,2.064503625s,67.959µs
10.1.2.55,2.147616541s,79.333µs
10.1.2.55,2.244569s,42.833µs
10.1.2.55,2.245152417s,72.25µs
10.1.2.55,2.25642875s,53.625µs
10.1.2.55,2.354547875s,43.375µs
10.1.2.56,2.361007666s,63.75µs
10.1.2.55,2.37877425s,77.875µs
10.1.2.55,2.387764916s,44.667µs
10.1.2.55,2.4637915s,71.875µs
10.1.2.55,2.552711292s,227.916µs
10.1.2.56,2.610161792s,167.541µs
10.1.2.56,2.611024125s,38.375µs
10.1.2.56,2.6753615s,75.292µs
10.1.2.55,2.695291625s,73.458µs
10.1.2.55,2.717492791s,42.042µs
10.1.2.55,2.729233542s,254.542µs
10.1.2.55,2.736866084s,44.417µs
10.1.2.56,2.759936375s,69.667µs
10.1.2.56,2.801996792s,113.917µs
10.1.2.55,2.81975175s,146.041µs
10.1.2.55,2.842751875s,50.917µs
10.1.2.55,2.870927583s,180.625µs
10.1.2.56,3.1565375s,39.666µs
10.1.2.56,3.344031208s,66.459µs
10.1.2.56,3.36068475s,89.125µs
10.1.2.56,3.360784209s,72.542µs
10.1.2.56,3.405120958s,47.5µs
10.1.2.56,3.445393709s,208.292µs
10.1.2.56,3.447036959s,91.334µs
10.1.2.56,3.4548925s,55µs
10.1.2.56,3.479991958s,46.542µs
10.1.2.56,3.505552375s,58.625µs
10.1.2.56,3.506964417s,49.416µs
10.1.2.56,3.529781875s,67.125µs
10.1.2.56,3.530720583s,70.958µs
10.1.2.56,3.534034291s,75.166µs
10.1.2.56,3.542344875s,68.708µs
10.1.2.56,3.557327709s,91.334µs
10.1.2.56,3.557653959s,57.25µs
10.1.2.56,3.557861708s,67.833µs
10.1.2.56,3.58196725s,47.916µs
10.1.2.56,3.602866542s,86.375µs
